latitude,longitude,e2008g_N,e2008g_n,p
40.3412,-74.6299,2,1,0.5
40.3414,-74.6299,1,1,1
40.3412,-74.6298,2,2,1
40.3413,-74.6297,1,1,1
40.3411,-74.6293,2,2,1
40.3412,-74.6291,1,0,0
40.341,-74.629,4,3,0.75
40.3409,-74.6289,4,2,0.5
40.341,-74.6289,2,1,0.5
40.3411,-74.6289,2,2,1
40.3414,-74.6286,1,1,1
40.3412,-74.6285,3,2,0.666666667
40.3414,-74.6285,2,0,0
40.3418,-74.6281,3,3,1
40.3419,-74.6281,1,1,1
40.3417,-74.628,3,2,0.666666667
40.3422,-74.6277,4,4,1
40.3436,-74.6277,3,3,1
40.3421,-74.6275,1,1,1
40.3424,-74.6275,1,0,0
40.3435,-74.6275,3,1,0.333333333
40.3426,-74.6273,6,5,0.833333333
40.3434,-74.6273,1,0,0
40.3433,-74.6272,2,1,0.5
40.3434,-74.6272,1,0,0
40.3431,-74.627,2,1,0.5
40.3429,-74.6269,2,0,0
40.343,-74.6269,1,0,0
40.343,-74.6268,2,1,0.5
40.3541,-74.6251,1,0,0
40.3577,-74.6239,3,2,0.666666667
40.359,-74.6235,1,1,1
40.3495,-74.6233,3,2,0.666666667
40.3496,-74.6233,1,1,1
40.3497,-74.6233,4,4,1
40.3498,-74.6233,10,10,1
40.3499,-74.6233,7,6,0.857142857
40.35,-74.6233,3,1,0.333333333
40.3501,-74.6233,9,7,0.777777778
40.3502,-74.6233,5,5,1
40.3503,-74.6233,4,4,1
40.3492,-74.6232,1,1,1
40.3493,-74.6232,1,1,1
40.3494,-74.6232,3,3,1
40.3495,-74.6232,1,1,1
40.3503,-74.6232,1,0,0
40.3491,-74.6231,2,1,0.5
40.3492,-74.6231,4,4,1
40.3497,-74.6231,3,3,1
40.3499,-74.6231,3,3,1
40.35,-74.6231,2,2,1
40.3501,-74.6231,2,1,0.5
40.3502,-74.6231,2,2,1
40.3503,-74.6231,1,1,1
40.3593,-74.6231,1,1,1
40.349,-74.623,2,1,0.5
40.3491,-74.623,1,0,0
40.3494,-74.623,2,2,1
40.3491,-74.6229,1,0,0
40.3521,-74.6229,1,1,1
40.36,-74.6229,5,4,0.8
