Month,passengers,log_passengers
Jan-49,112,4.718498871
Feb-49,118,4.770684624
Mar-49,132,4.882801923
Apr-49,129,4.859812404
May-49,121,4.795790546
Jun-49,135,4.905274778
Jul-49,148,4.997212274
Aug-49,148,4.997212274
Sep-49,136,4.912654886
Oct-49,119,4.779123493
Nov-49,104,4.644390899
Dec-49,118,4.770684624
Jan-50,115,4.744932128
Feb-50,126,4.836281907
Mar-50,141,4.94875989
Apr-50,135,4.905274778
May-50,125,4.828313737
Jun-50,149,5.003946306
Jul-50,170,5.135798437
Aug-50,170,5.135798437
Sep-50,158,5.062595033
Oct-50,133,4.890349128
Nov-50,114,4.736198448
Dec-50,140,4.941642423
Jan-51,145,4.976733742
Feb-51,150,5.010635294
Mar-51,178,5.18178355
Apr-51,163,5.093750201
May-51,172,5.147494477
Jun-51,178,5.18178355
Jul-51,199,5.293304825
Aug-51,199,5.293304825
Sep-51,184,5.214935758
Oct-51,162,5.087596335
Nov-51,146,4.983606622
Dec-51,166,5.111987788
Jan-52,171,5.141663557
Feb-52,180,5.192956851
Mar-52,193,5.262690189
Apr-52,181,5.198497031
May-52,183,5.209486153
Jun-52,218,5.384495063
Jul-52,230,5.438079309
Aug-52,242,5.488937726
Sep-52,209,5.342334252
Oct-52,191,5.252273428
Nov-52,172,5.147494477
Dec-52,194,5.267858159
Jan-53,196,5.278114659
Feb-53,196,5.278114659
Mar-53,236,5.463831805
Apr-53,235,5.459585514
May-53,229,5.433722004
Jun-53,243,5.493061443
Jul-53,264,5.575949103
Aug-53,272,5.605802066
Sep-53,237,5.468060141
Oct-53,211,5.351858133
Nov-53,180,5.192956851
Dec-53,201,5.303304908
Jan-54,204,5.318119994
Feb-54,188,5.236441963
Mar-54,235,5.459585514
Apr-54,227,5.424950017
May-54,234,5.455321115
Jun-54,264,5.575949103
Jul-54,302,5.710427017
Aug-54,293,5.680172609
Sep-54,259,5.556828062
Oct-54,229,5.433722004
Nov-54,203,5.313205979
Dec-54,229,5.433722004
Jan-55,242,5.488937726
Feb-55,233,5.451038454
Mar-55,267,5.587248658
Apr-55,269,5.59471138
May-55,270,5.598421959
Jun-55,315,5.752572639
Jul-55,364,5.897153868
Aug-55,347,5.84932478
Sep-55,312,5.743003188
Oct-55,274,5.613128106
Nov-55,237,5.468060141
Dec-55,278,5.627621114
Jan-56,284,5.648974238
Feb-56,277,5.624017506
Mar-56,317,5.758901774
Apr-56,313,5.746203191
May-56,318,5.762051383
Jun-56,374,5.924255797
Jul-56,413,6.023447593
Aug-56,405,6.003887067
Sep-56,355,5.872117789
Oct-56,306,5.723585102
Nov-56,271,5.602118821
Dec-56,306,5.723585102
Jan-57,315,5.752572639
Feb-57,301,5.707110265
Mar-57,356,5.874930731
Apr-57,348,5.85220248
May-57,355,5.872117789
Jun-57,422,6.045005314
Jul-57,465,6.142037406
Aug-57,467,6.146329258
Sep-57,404,6.001414878
Oct-57,347,5.84932478
Nov-57,305,5.720311777
Dec-57,336,5.81711116
Jan-58,340,5.828945618
Feb-58,318,5.762051383
Mar-58,362,5.891644212
Apr-58,348,5.85220248
May-58,363,5.894402834
Jun-58,435,6.075346031
Jul-58,491,6.196444128
Aug-58,505,6.224558429
Sep-58,404,6.001414878
Oct-58,359,5.883322388
Nov-58,310,5.736572297
Dec-58,337,5.82008293
Jan-59,360,5.886104031
Feb-59,342,5.834810737
Mar-59,406,6.00635316
Apr-59,396,5.981414211
May-59,420,6.040254711
Jun-59,472,6.156978986
Jul-59,548,6.306275287
Aug-59,559,6.326149473
Sep-59,463,6.137727054
Oct-59,407,6.008813185
Nov-59,362,5.891644212
Dec-59,405,6.003887067
Jan-60,417,6.033086222
Feb-60,391,5.96870756
Mar-60,419,6.03787092
Apr-60,461,6.133398043
May-60,472,6.156978986
Jun-60,535,6.282266747
Jul-60,622,6.432940093
Aug-60,606,6.406879986
Sep-60,508,6.230481448
Oct-60,461,6.133398043
Nov-60,390,5.966146739
Dec-60,432,6.068425588
