salary,teamsal,nl,years,games,atbats,runs,hits,doubles,triples,hruns,rbis,bavg,bb,so,sbases,fldperc,frstbase,scndbase,shrtstop,thrdbase,outfield,catcher,yrsallst,hispan,black,whitepop,blackpop,hisppop,pcinc,gamesyr,hrunsyr,atbatsyr,allstar,slugavg,rbisyr,sbasesyr,runsyr,percwhte,percblck,perchisp,blckpb,hispph,whtepw,blckph,hisppb,lsalary
6329213,38407380,1,12,1705,6705,1076,1939,320,67,231,836,289,619,948,314,989,0,1,0,0,0,0,9,0,0,5772110,1547725,893422,18840,142.0833282,19.25,558.75,75,46.02535248,69.66666412,26.16666603,89.66666412,70.27796936,18.84422874,10.8778038,0,0,70.27796936,0,0,15.66068649
3375000,38407380,1,8,918,3333,407,863,156,38,73,342,259,137,582,133,968,0,0,1,0,0,0,2,0,1,5772110,1547725,893422,18840,114.75,9.125,416.625,25,39.42394257,42.75,16.625,50.875,70.27796936,18.84422874,10.8778038,18.84422874,0,0,10.8778038,0,15.03190613
3100000,38407380,1,5,751,2807,370,840,148,18,46,355,299,341,228,41,994,1,0,0,0,0,0,0,0,0,5772110,1547725,893422,18840,150.1999969,9.199999809,561.4000244,0,41.39650726,71,8.199999809,74,70.27796936,18.84422874,10.8778038,0,0,70.27796936,0,0,14.94691277
2900000,38407380,1,8,1056,3337,405,816,143,18,107,421,245,306,653,15,971,0,0,0,1,0,0,0,0,0,5772110,1547725,893422,18840,132,13.375,417.125,0,39.4366188,52.625,1.875,50.625,70.27796936,18.84422874,10.8778038,0,0,70.27796936,0,0,14.88022137
1650000,38407380,1,12,1196,3603,437,928,19,16,124,541,258,316,725,32,977,0,0,0,0,1,0,0,0,1,5772110,1547725,893422,18840,99.66666412,10.33333302,300.25,0,37.49653244,45.08333206,2.666666746,36.41666794,70.27796936,18.84422874,10.8778038,18.84422874,0,0,10.8778038,0,14.31628609
7.00E+05,38407380,1,17,2032,7489,1136,2145,270,142,40,574,286,416,1098,660,987,0,0,0,0,1,0,2,0,1,5772110,1547725,893422,18840,119.5294113,2.352941275,440.5294189,11.76470566,37.64187622,33.76470566,38.82352829,66.8235321,70.27796936,18.84422874,10.8778038,18.84422874,0,0,10.8778038,0,13.4588356
695000,38407380,1,4,394,1293,179,303,51,13,37,141,234,77,358,67,965,0,0,0,0,1,0,0,1,0,5772110,1547725,893422,18840,98.5,9.25,323.25,0,37.97370529,35.25,16.75,44.75,70.27796936,18.84422874,10.8778038,0,10.8778038,0,0,18.84422874,13.45166683
275000,38407380,1,10,432,1005,78,240,35,5,13,95,239,39,140,1,990,0,0,0,0,0,1,0,0,0,5772110,1547725,893422,18840,43.20000076,1.299999952,100.5,0,32.23880768,9.5,0.100000001,7.800000191,70.27796936,18.84422874,10.8778038,0,0,70.27796936,0,0,12.5245266
235000,38407380,1,4,223,491,37,118,16,5,1,29,240,23,62,6,963,0,0,1,0,0,0,0,1,0,5772110,1547725,893422,18840,55.75,0.25,122.75,0,29.93889999,7.25,1.5,9.25,70.27796936,18.84422874,10.8778038,0,10.8778038,0,0,18.84422874,12.36734104
212500,38407380,1,3,156,434,45,116,16,0,10,59,267,18,48,6,971,0,0,0,0,1,0,0,0,1,5772110,1547725,893422,18840,52,3.333333254,144.6666718,0,37.3271904,19.66666603,2,15,70.27796936,18.84422874,10.8778038,18.84422874,0,0,10.8778038,0,12.26669693
