AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALGN,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BIDU,BIIB,CA,CELG,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CTAS,CTRP,CTSH,CTXS,DISCA,DISCK,DISH,DLTR,EA,EBAY,ESRX,EXPE,FAST,FB,FISV,FOXA,FOX,GILD,GOOGL,HAS,HOLX,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,KLAC,LBTYA,LBTYK,LRCX,LVNTA,MCHP,MDLZ,MELI,MNST,MSFT,MU,MXIM,MYL,NFLX,NTES,NVDA,ORLY,PAYX,PCAR,PCLN,QCOM,QVCA,ROST,SBUX,SHPG,SIRI,STX,SWKS,SYMC,TSCO,TSLA,TXN,ULTA,VIAB,VOD,VRSK,WDC,WYNN,XLNX,XRAY
0.004725155,0.013684884,0.005215459,-0.00195227,-0.005462836,-0.006685262,-0.005932535,0.003268838,-0.004683849,-0.003964439,0.006941268,-0.019006097,0.021299128,0.005546558,0.004922662,-0.012359965,0.001402078,0.005338207,0.002416256,-0.003567086,0.006102128,0.021891228,0.006616406,0.004135756,0.012559035,0.00779848,-0.012224371,0.004014662,0.000896138,0.001673641,-0.006037936,-0.01913934,0.000960549,-0.002440628,-0.005754229,-0.00672756,0.008184569,0.010267232,-0.004888948,-0.003976847,-0.002146211,0.012087521,-0.019254188,-0.009605197,0.000874181,-0.012551561,-0.013552966,-0.004001149,0.003596202,0.001182932,-0.005615652,-0.011598288,0.003773171,0.003572493,-0.001328866,-0.007158227,-0.001905759,-0.009655477,-0.005067249,0.007866314,0.004082114,-0.003592026,0.00851069,-0.021849317,-0.001289491,-0.049377118,0.007378406,-0.015235166,-0.000322286,-0.003396638,-0.010788582,0.014075264,0.001265823,-0.006803378,-0.01041952,0.008970419,0.007501045,0.014440684,0.010387628,0.015580106,-0.001078749,-0.016939987,0.01533173,0.003728186,0.02340651,-0.003327139,-0.002919264,-0.005687604,-0.004350768,0.014525943,0.000291758,-0.001519372
-0.02311667,0.004904092,-0.001487358,-0.000178221,-0.000608828,-0.003359466,-0.016120312,-0.001369502,-0.0018797,0.000226963,-0.005774336,-0.00402415,0.001442377,-0.071814632,0.0029044,0.004595596,0.003940767,-0.013070373,-0.010365072,-0.007016664,-0.000405652,0.001154179,0.00237123,0.005326889,-0.094842271,-0.009154412,0.001493515,0.002832641,-0.008455569,0.016584128,-0.014150029,-0.01740385,-0.010640232,0.002065534,-0.018807245,0.006008911,-0.011552206,-0.00247541,-0.01108364,-0.010812142,-0.004845884,-0.01217493,-0.023987136,-0.00753502,-0.003501317,-0.004146214,0.002530908,0.002859596,0.005625175,-0.001859522,-0.006603223,-0.006713167,0.001991812,0.019602386,0.02104362,-0.0028777,0.000523665,-0.01110188,0.00078125,0.001956948,-0.013829696,-0.002275314,0.004228336,0.001401542,0.003863495,-0.013439306,-0.053799243,-0.00042653,-0.01091136,0.004320994,-0.010672955,-0.009381668,-0.003643568,0,-0.016828181,-0.011127494,0.023295184,-0.01991016,0.010674148,0.002206045,-0.004868822,-0.063476064,0.001490535,-0.005597504,-0.00110226,-0.00353496,-0.001756909,-0.017052288,-0.001655256,-0.050162423,-0.004385331,-0.010188575
-0.060078556,0.003160468,-0.001986591,0.005139426,-0.002133822,-0.017824775,-0.014848931,-0.010491274,0.013084299,-0.004093241,0.007332498,0.00402415,-0.005492137,-0.013660952,0.001264867,0.003661331,-0.004960265,0.002627777,-0.014963987,0.000142895,-0.007330018,0.002592043,0.007341407,0.001688986,0.011370219,0.020296175,-0.030500208,-0.003336046,-0.000903751,-0.013245227,-0.006161449,0.018093743,0.001555982,0.011192059,-0.002691792,-0.015942367,0.021872976,0.009606721,-0.000617296,0,-0.004733897,-0.004631896,-0.000272814,0.018732151,-0.00200627,0.003819506,0.000777454,0.005126756,0.006860655,-0.000677048,-0.00927768,-0.006063249,0.022949319,0.00226916,0.006489196,0.006606372,0.011722116,0.001690046,-0.005481611,0.018265348,0.013247556,-0.003041827,0.015906572,0.005238357,-0.00367918,0.107425469,-0.00656697,0.006378929,-0.014332065,0.006752635,0.010442142,-0.008522476,-0.000635021,0.000527369,-0.006157209,-0.027464413,0.013831788,-0.001829827,0.037434431,0.012264718,0.005677993,0.011942961,0.000297841,0.002887475,0.000100256,0.002358028,-0.001174034,0.005166902,0.027626887,0.016331036,-0.003522164,-0.002050231
-0.037866714,0.004008021,0.007922795,0.011248884,0.019940238,0.076897601,-0.105488385,-0.010279564,-0.002789402,0.004887206,0.00410351,-0.000446329,-0.001160093,-0.022997449,0.001789761,0,0.005087128,0.022061627,0.004042224,-0.009383368,0.002992792,-0.06148789,0.003129893,0.009119334,0.01737225,0.021050331,0.018478612,0.021318355,0.022175444,0.007472015,-0.013439724,0.005502077,0.005810025,-0.004461803,-0.000505519,0.006794494,-0.016452908,0.022231655,0.002471565,0.004419741,-0.001220919,0.003319854,0.009504484,0.014214506,-0.007053814,0.007811692,-0.002334177,0.008486614,0.011330853,0.00422405,-0.007529145,0.013805224,0.003020499,0.022765264,0.019935899,-0.00143246,0.000169887,0.010415011,-0.002752115,-0.004535155,-0.009948584,0.013615944,0.014020848,0.014351418,-0.001106399,-0.01444989,-0.040588168,0.008021998,-0.001875035,0.006707342,-0.000692761,0.005699845,0.006963155,0.002620308,-0.003639676,0.032555475,-0.006222934,0.021739987,0.0375439,0.011685915,0.007253222,0.005262541,-0.000893788,0.005750058,0.002003005,0.005285321,0.008571535,0.006165248,0.053342176,0.005111832,0.008636517,-0.002825949
0.021455702,0.000285673,0.004429141,-0.004905574,0,0.017555803,0.073925274,-0.030933118,0.008344972,-0.006483558,0.002303325,0.000892459,-0.014910377,0.021632416,-0.00066357,0,-0.007129247,-0.008766332,0.013578394,0.007810397,0.000543183,0.000917198,-0.001563722,0.002147716,0,0.004906215,0.006530941,-0.005079614,0.003707304,0.022895522,-0.005779637,0.004789609,-0.006391503,-0.003920475,0.007054111,0.008908209,0.000931532,0.000252685,0.012285457,0.012945968,-0.004762238,-0.00345159,-0.006507615,0.005733662,0.002524935,0.004098366,0.002916871,0.002250986,0.003000002,-0.001856384,0.002399135,-0.001886955,0.005156866,0.015736902,0.012238398,0.006572391,0.001034142,0.017558841,-0.003944778,0.007273757,0.005103698,-0.009246221,0.040133797,-0.002922722,-0.006292821,0.042245638,-0.010217203,-0.005904699,-0.000883587,0.000607533,0.00368919,-0.0017035,0.001260835,-0.006305293,0.005273219,0.037190408,0.007993825,-0.014440684,0.031600475,-0.026156679,0.002139038,0.007013402,0.009492803,-0.004394126,0.000900045,0.025825293,0.001548624,0.001023856,0.023879274,-0.006210633,0.002474708,0.007433073
-0.0158995,0.011078085,0.008313006,0.004556827,0,0.003629768,0.007493626,0.015859363,0.008275909,0.001140511,-0.01922366,0.007111141,0.004701742,0.010755835,0.001794951,-0.005037794,0.005224606,0.007610485,0.020136377,-0.003035932,0.001898821,0.003863364,0.008828933,-0.000715393,0.003881347,0.007171574,0.031538503,-0.007423407,-0.013661172,0.001077296,-0.009622764,0.004766778,-0.013299762,0.006711435,-0.040996347,0.003827756,0.009267907,0.004160107,0.006491963,0.006510896,0.009096526,0.002091081,0.00839772,0.007250161,0.005281702,0.004188825,0.004842624,0.00224593,-0.002499376,0.004550442,0.007470565,0,0.010234631,0.002011492,0.003217256,0.005396974,-0.007393649,0.00817666,0.012178504,0.012771913,0.022392234,0.005482574,0.013286635,0.012660563,0.00813614,-0.009317734,-0.049740551,0.009263224,-0.004651686,0.005451255,0.006652164,-0.052262414,0.002831081,0.003157616,0.002173914,-0.00641875,0.016233767,-0.007299302,0.001765849,-0.016028838,0,0.003075106,0.009988332,0.00675222,-0.006015659,0.01604262,0,0.002452986,0.018008819,-0.002017609,0.01242611,0.001531003
0.029764629,0.001975449,0.009209954,0.004536156,0.008637433,0.005934736,0.012883255,0.016579455,0.012739026,0.021537733,-0.002631847,0.00706093,0.006429011,0.041254333,0.018206002,0.012320484,0.025968969,0.007935534,-0.000433463,-0.002168575,0.009171901,-0.004780561,0.017427402,-0.001790725,0.050185875,0.013767871,0.021595857,0.003138826,0.002854087,-0.017103715,-0.047683906,0.010810916,0.009794507,0.011454032,0.026668247,0.005714301,0.020453598,0.008767591,0.006045046,0.006074835,0.007540092,0.005802826,0.006721359,0.018658688,0.002880583,0.005344748,0.004819286,-0.005060455,0.008472515,0.004027527,0.018193764,0.006162293,0.003388398,0.009007892,0.006929572,0.019358158,0.011834458,0.013266656,0.014344111,0.028482096,0.02709428,0.01978784,0.030583423,0.012838014,0.0149884,-0.000994613,0.009132484,0.037026031,0.00520402,0.007222421,0.020367303,-0.003526887,0.006886864,-0.008964253,-0.012015437,0.003780723,0.008450755,-0.001833181,0.014015646,0.007601199,0.005061953,0.006121988,0.007281232,0.007041102,-0.027734241,0.013390566,0.002706655,0.011368373,0.003722419,0.003299426,0.008009196,0.011408414
-0.002030158,0.007023487,0.012228902,-0.002964767,0.015449436,0.01633106,0.035064568,0.005465959,0.001806685,0.00066912,0.013730561,0.007884404,0.00348939,0.018628095,-0.010014761,-0.012550079,0.004941332,0.006480739,0.003246405,0.003472679,0.002145924,-0.00849849,0.000761905,-0.002033372,0.02031849,0.013024482,0.009763874,0.008220886,0.015027243,-0.010736511,0.010882656,0.019301764,0.010089387,-0.006819674,0.001696353,0.018582212,-0.010174506,0.000124696,-0.006045046,-0.004895172,0.020315377,0.008123117,0.009865431,-0.000759975,0.0100791,0.00478597,0.006134989,-0.083430627,0.019413314,0.007009374,0.018987144,-0.022085094,-0.006575482,0.002320008,-0.001416304,0.000277816,0.004252961,0.014677992,-0.006177626,0.039745441,0.020722704,0.001108443,0,0.008689894,0.005066967,0.018079217,0.013544225,0.007243492,0.020333014,0.012663111,-0.003141129,0.00386366,-0.012083317,-0.001591778,-0.012346973,0.003108372,0.004413592,0,-0.037941087,-0.000222742,-0.005596284,-0.003527341,0.01440532,0.025727013,-0.01678609,-0.002034212,0.000386509,-0.007090073,-0.010136123,0.011463008,0.013863569,0.006031685
-0.019772425,-0.014948805,-0.014160803,0.00017511,-0.020801812,-0.012735781,-0.016616697,-0.005788418,-0.012715884,-0.01121088,-0.000159974,-0.003934431,-0.025131751,0.003705472,-0.007859996,-0.000918907,-0.023061165,-0.010184684,-0.003246405,-0.011020875,-0.017297729,0.000925022,-0.00483523,-0.004800777,-0.002581979,-0.003624202,-0.003768072,-0.014843352,-0.016810092,-0.000692185,0.015715357,0.000658979,-0.020473503,-0.005749807,-0.009879147,0,0.002188983,-0.008892287,-0.013843253,-0.013842571,-0.02112053,0.00871479,-0.017126456,-0.002537428,-0.00210696,0.007188952,0.006287531,0.010059527,-0.005123837,-0.008517797,-0.006634109,-0.015648671,-0.015657156,-0.003484008,-0.002843039,-0.008788506,0.030751499,-0.002854879,-0.002714758,-0.016016613,-0.007830722,-0.004812151,-0.003016594,-0.026470398,-0.003979025,0.044596927,-0.00608548,-0.004420341,-0.019780985,-0.00549248,-0.01471447,-0.025923588,-0.013190497,0.018923816,-0.008005255,-0.003863373,0.004073325,0.007312647,-0.005435781,-0.074193655,-0.015349702,0.0049348,-0.065301589,-0.008830801,-0.010144861,-0.016048115,0.003277771,-0.000813504,0.009073988,0.024924243,-0.008890202,-0.012607328
-0.039133971,0.050155961,-0.00630458,0.000960568,0.007722046,-0.008753918,-0.00038088,0.000322459,0.006832183,0.0024772,-0.008878591,-0.003510315,-0.096322748,0.015518818,-0.003454658,0.001607533,-0.003790276,-0.013656486,0.003462457,-0.002480343,-0.006701796,-0.005046615,0.004581326,-0.001444739,0.047952664,0.004736704,0.007990496,-0.003162977,-0.008062393,0.000138475,0.003113651,-0.005284028,-0.011491647,0.001301236,0.002222793,-0.003969649,-0.024719945,0.001131577,-0.004934167,-0.00559113,-0.013787729,-0.001417645,-0.005955621,-0.001016777,-0.020557254,-0.005810592,-0.030273207,-0.043074048,-0.004412853,0.001005868,-0.001728833,0.000531491,0.002159362,-0.005836438,-0.008214061,0.011562433,-0.015423202,0.000635122,0.008892384,-0.00901023,-0.024092188,-0.009319732,0.010518504,-0.007373779,0.007222856,0.023630116,0.008193517,0.006022905,-0.014004897,-0.000893522,0.000228024,0.003580819,-0.050359144,-0.006266168,-0.006751714,0.002451675,-0.000749104,-0.022100347,-0.006196484,-0.079363156,0.002439356,-0.006113351,0.025623105,-0.00263158,-0.00021245,-0.007552906,-0.007146499,-0.007146534,-0.005060605,-0.011982569,-0.004973367,0.002281081
-0.00870139,-0.002706362,0.0048532,-0.004983884,0.012933749,-0.004146158,-0.001524972,-0.001613337,-0.002272212,0.001685488,0.005874323,-0.029892924,0.01689998,-0.01414599,0.003152222,0.000458821,-0.004185964,-0.003248233,-0.000432152,0.00452069,0.00260399,0.001650676,0.005571045,0.005526867,0.010784418,0.005267548,0.015178328,0.017676223,0.019418086,-0.00110834,0.001035733,0.007915609,0.000993838,0.017494231,0.007825831,0.008619739,-0.016952751,0.000628101,0.007799684,0.008375016,0.000408247,0.007772296,-0.007357984,-0.000254356,0.026001465,0.012425136,-0.005299846,0.003161558,0.00049128,0.008176933,0.005844585,0.00829002,0.00773532,0.011305311,0.013712668,-0.003885656,0.007823528,-0.004773279,-0.002698017,0.002582646,-0.010985388,-0.000749344,-0.022676709,0.008569033,0.00538311,0.000988405,-0.004749349,-0.011272261,0.000783217,0.00059577,0,-0.004815722,0.007709105,0.000520072,0.001504325,0.007879966,-0.004829113,0.059638266,0.01307683,0.02361506,-0.004340756,0.007869894,0.00445435,0.00263158,0.011198089,0.008117081,-0.010912121,0.003273325,0.00771383,0.004276938,0.002276609,0.009323489
0.037204701,0.007559431,0.01059485,0.006116288,0.020523917,0.025129527,0.009870999,0.023089817,0.003633065,-0.000898574,0.021824531,-0.004084417,0.021046695,0.020782953,0.007833781,0.013215048,0.016514715,0.010099788,0.004743433,0.030371098,0.02045726,0.01727088,0.011049836,0.008114603,0.087255131,0.008398205,0.01706754,0.015114231,0.010006228,-0.022712318,0.019985292,-0.029673789,0.023611348,0.006187463,0.016804294,0.007165176,0.02179718,0.008129618,0.019632206,0.018880382,0.022466809,0.01582671,0.002458682,0.011382442,0.013238732,0.000627681,0.012905928,0.012547216,0.010261512,0.016809888,0.018030713,0.007350401,0.009373737,0.016885973,0.012127319,0.007480295,0.035524586,0.012363448,-0.006582792,0.013577767,-0.01087714,0.017094433,0.002290952,0.010186845,0.003929278,0.023359055,0.030988028,0.012472501,0.015426753,-0.017574617,0.009756175,0.020498235,0.036874313,0.008867584,0.018615579,0.014287283,0.006967922,0.031090587,0.016109172,0.060057415,0.010816763,0.014749701,0.014998076,0.014351192,0.01945445,-0.004711212,-0.009051775,0.018014858,0.012376722,0.004878275,0.01158696,0.008988825
0.010040729,0.005097261,0.010009616,0.00936159,0.022072203,0.036304335,0.01982485,-0.005484667,0.017079067,-0.006991458,0.01143494,-0.023931193,0.007857969,0.004743255,-0.010523729,0.010806048,-0.006271186,0.016609555,0.019174,0.023699584,0.016360011,-0.000608088,0.011176076,0.008285052,0.017715255,0.003694838,0.003470358,0.012185457,0.015770191,-0.016874417,0.00202737,-0.027793863,-0.004482028,-0.027590494,0.012091245,0.018483127,0.002227999,-0.007376417,0.011362656,0.010468633,-0.006941691,0.001981403,-0.002732242,0.017205262,-0.006229789,-0.00052304,-0.003503312,-0.000623636,0.013999746,0.014117882,-0.070048878,0.010407726,0.012014055,0.018839618,0.020752426,0.007150746,0.017448807,0.015940328,0.00232829,0,0.002299777,0.004044867,0.0226254,0.014089465,-0.019802627,-0.008948606,0.013245227,0.008361586,0.003847216,0.000151527,0.008767056,0.011123799,0.006095624,0.017502697,-0.012620806,-0.002767274,-0.00224587,-0.011976191,0.056605862,-0.005749896,0.000537779,0.003222839,0.007850019,0.011910651,-0.009731933,0.008276947,0,0.001403228,0.045782193,8.85E-05,0.011731978,0.003721627
