latitude,longitude,e2008g_N,e2008g_n,p
40.304,-74.671,1,0,0
40.2779,-74.6699,1,0,0
40.3139,-74.6694,10,3,0.3
40.3132,-74.6689,4,4,1
40.3133,-74.6688,4,2,0.5
40.313,-74.6687,3,2,0.666666667
40.3132,-74.6687,6,1,0.166666667
40.3134,-74.6687,44,17,0.386363636
40.306,-74.6686,1,1,1
40.3131,-74.6686,5,2,0.4
40.3132,-74.6686,6,2,0.333333333
40.3133,-74.6685,1,1,1
40.3126,-74.6683,4,3,0.75
40.3122,-74.6679,3,2,0.666666667
40.3073,-74.6675,2,1,0.5
40.312,-74.6674,2,2,1
40.2784,-74.6669,1,1,1
40.315,-74.6666,3,2,0.666666667
40.3148,-74.6665,2,0,0
40.2786,-74.6664,1,1,1
40.3142,-74.666,4,2,0.5
40.3135,-74.6656,1,1,1
40.2788,-74.6654,2,0,0
40.2789,-74.6652,4,3,0.75
40.3174,-74.665,8,5,0.625
40.3172,-74.6648,9,8,0.888888889
40.2805,-74.6644,1,0,0
40.3174,-74.6644,21,11,0.523809524
40.3142,-74.6643,1,1,1
40.3174,-74.6643,14,9,0.642857143
40.3162,-74.6641,23,12,0.52173913
40.3161,-74.664,24,19,0.791666667
40.3159,-74.6639,21,14,0.666666667
40.3173,-74.6638,7,5,0.714285714
40.3172,-74.6636,12,8,0.666666667
40.3169,-74.6634,13,8,0.615384615
40.3171,-74.6634,10,4,0.4
40.3168,-74.6633,9,8,0.888888889
40.2795,-74.6632,1,0,0
40.3169,-74.6632,22,16,0.727272727
40.2796,-74.663,1,1,1
40.2797,-74.6628,2,2,1
40.3193,-74.6618,2,2,1
40.3195,-74.6617,2,2,1
40.3194,-74.6616,8,5,0.625
40.3194,-74.6615,2,0,0
40.28,-74.6614,2,1,0.5
40.3118,-74.6613,1,1,1
40.3186,-74.6611,5,4,0.8
40.3184,-74.661,1,1,1
40.3185,-74.661,7,4,0.571428571
40.319,-74.661,3,3,1
40.3186,-74.6609,2,2,1
40.319,-74.6609,1,1,1
40.3191,-74.6609,2,0,0
40.3192,-74.6609,6,4,0.666666667
40.3195,-74.6609,1,1,1
40.3115,-74.6608,2,2,1
40.3187,-74.6608,2,2,1
40.3188,-74.6608,3,2,0.666666667
40.3189,-74.6608,1,1,1
40.3196,-74.6608,2,2,1
40.3197,-74.6608,5,3,0.6
40.3197,-74.6607,3,1,0.333333333
40.3197,-74.6606,3,0,0
40.3197,-74.6603,4,2,0.5
40.3198,-74.6603,2,2,1
40.2803,-74.6602,2,2,1
40.3198,-74.6601,9,8,0.888888889
40.2803,-74.66,1,1,1
40.2804,-74.6597,2,2,1
40.3201,-74.6597,3,2,0.666666667
40.3202,-74.6597,11,9,0.818181818
40.3203,-74.6596,10,6,0.6
40.309,-74.6588,4,0,0
40.3206,-74.6584,14,10,0.714285714
40.2808,-74.6583,2,2,1
40.2863,-74.6581,4,2,0.5
40.2864,-74.6581,1,0,0
40.2865,-74.6581,2,1,0.5
40.3216,-74.6581,37,21,0.567567568
40.3217,-74.6581,13,12,0.923076923
40.3218,-74.6581,26,20,0.769230769
40.2857,-74.658,2,1,0.5
40.2858,-74.658,2,2,1
40.286,-74.658,1,1,1
40.3217,-74.658,4,3,0.75
40.2855,-74.6579,1,1,1
40.2854,-74.6578,2,2,1
40.2868,-74.6578,2,2,1
40.2853,-74.6577,2,0,0
40.2853,-74.6576,1,1,1
40.2869,-74.6576,2,2,1
40.3216,-74.6576,9,5,0.555555556
40.2857,-74.6575,1,1,1
40.2861,-74.6575,2,2,1
40.2864,-74.6575,2,2,1
40.3214,-74.6575,9,5,0.555555556
40.2857,-74.6574,5,4,0.8
40.2869,-74.6574,2,2,1
40.3231,-74.6574,11,8,0.727272727
40.3233,-74.6574,8,6,0.75
40.2853,-74.6573,1,0,0
40.2857,-74.6573,4,4,1
40.2853,-74.6572,2,0,0
40.2857,-74.6572,2,1,0.5
40.2858,-74.6572,5,3,0.6
40.322,-74.6572,7,6,0.857142857
40.3221,-74.6572,14,8,0.571428571
40.3232,-74.6572,9,5,0.555555556
40.3234,-74.6572,17,12,0.705882353
40.2853,-74.6571,1,1,1
40.2872,-74.6571,2,2,1
40.2853,-74.657,1,1,1
40.286,-74.657,2,2,1
40.2861,-74.657,1,1,1
40.2865,-74.657,1,1,1
40.2866,-74.657,2,2,1
40.3232,-74.657,15,7,0.466666667
40.2809,-74.6569,3,2,0.666666667
40.2867,-74.6569,3,3,1
